Estado,SKU,Nome,PV,Preço Consumidor,25%,35%,42%,50%,Origem_Aba
RJ,38,1445 CR7 Drive,"26,75","243,00","195,03","176,45","163,44","148,58",RJ
RJ,55,0948 Shake Sachê Baunilha Cremoso (caixa com 7 sachês),"9,55","87,00","65,38","58,94","54,43","49,27",RJ
RJ,16,0020 Xtra-Cal,"11,00","109,00","80,45","71,40","65,06","57,81",RJ
RJ,26,448K Sopa Instantânea (Frango com Legumes),"9,35","87,00","65,06","59,52","55,64","51,20",RJ
RJ,48,445K Sopa Instantânea (Creme de Cebola),"9,35","87,00","65,06","59,52","55,64","51,20",RJ
RJ,48,190K Liftoff sabor Amora Intenso,"20,20","196,00","149,13","134,63","124,48","112,88",RJ
RJ,59,371K Liftoff sabor Abacaxi,"20,20","196,00","149,13","134,63","124,48","112,88",RJ
RJ,59,317K Liftoff sabor Limão Siciliano,"20,20","196,00","149,13","134,63","124,48","112,88",RJ
RJ,59,060K Herbal Concentrate Original 51g,"21,45","222,00","163,94","145,48","132,55","117,79",RJ
RJ,49,057K N-R-G Original 100g,"24,45","252,00","179,39","159,19","145,05","128,89",RJ
RJ,27,0031 Barras de Proteína Limão Citrus (7 barras por caixa),"10,40","110,00","91,18","85,10","80,85","75,99",RJ
RJ,31,214K Barras de Proteína Vanilla Almond (7 Barras por Caixa),"10,40","110,00","91,18","85,10","80,85","75,99",RJ
RJ,31,325K Creatina Premium 150g,"18,45","181,00","139,41","125,56","115,87","104,80",RJ
RJ,68,318K Shape Control,"35,35","338,00","256,65","227,75","207,52","184,40",RJ
RJ,22,1923 Beauty Booster Frutas Vermelhas,"27,80","301,00","228,27","202,57","184,57","164,01",RJ
RJ,90,395K Nutri Soup Frango Com Legumes,"25,75","246,00","183,07","162,46","148,02","131,53",RJ
RJ,11,058K N-R-G Original 60g,"15,85","159,00","118,96","105,56","96,19","85,47",RJ
RJ,39,056K N-R-G Guaraná Tropical 100g,"24,45","252,00","179,39","159,19","145,05","128,89",RJ
RJ,27,0246 Pó de Proteína 480g,"39,25","401,00","300,78","266,91","243,20","216,11",RJ
RJ,51,062K Herbal Concentrate Laranja e Especiarias 102g,"37,60","364,00","271,57","240,99","219,58","195,12",RJ
RJ,19,306B NutreV pack 10 unidades,"80,90","790,00","533,31","503,38","482,43","458,49",RJ
RJ,67,1639 NutreV,"7,40","79,00","66,04","62,03","59,22","56,01",RJ
RJ,57,497K Fiber Concentrate Immune Limão e Mel,"20,30","206,00","144,16","127,93","116,57","103,58",RJ
RJ,10,040K Protein Crunch,"12,30","112,00","86,53","76,79","69,97","62,17",RJ
RJ,05,146K Glutamina,"9,10","80,00","61,18","55,79","52,01","47,69",RJ
RJ,24,0242 Pó de Proteína 240g,"19,30","221,00","162,66","144,35","131,53","116,88",RJ
RJ,06,004K Herbal Concentrate Original Embalagem Econômica,"138,05","1072,00","848,04","752,55","685,70","609,30",RJ
RJ,41,063K Herbal Concentrate Limão 51g,"21,45","222,00","163,94","145,48","132,55","117,79",RJ
RJ,49,0927 Fiber Powder,"24,65","243,00","183,76","163,07","148,59","132,03",RJ
RJ,36,191K Whey Protein sabor Baunilha,"24,55","256,00","192,58","176,15","164,65","151,50",RJ
RJ,17,061K Herbal Concentrate Canela 102g,"37,60","364,00","271,57","240,99","219,58","195,12",RJ
RJ,19,003K N-R-G Guaraná Tropical Embalagem Econômica,"84,80","668,00","527,96","468,51","426,89","379,33",RJ
RJ,47,147K Whey Protein 3W,"24,55","256,00","192,58","176,15","164,65","151,50",RJ
RJ,17,223K OnActive Drink,"19,45","176,00","135,02","121,90","112,72","102,23",RJ
RJ,26,1417 Herbalife24 Hours Tri-Core Protein Blend Chocolate,"46,80","467,00","374,78","337,34","311,13","281,18",RJ
RJ,01,0931 Nutri Soup Creme Verde,"25,75","246,00","183,07","162,46","148,02","131,53",RJ
RJ,11,148K BCAA 5:1:1,"25,85","264,00","199,20","181,83","169,67","155,77",RJ
RJ,03,496K Fiber Concentrate Uva,"20,30","206,00","144,16","127,93","116,57","103,58",RJ
RJ,498K,Fiber Concentrate Manga,"20,30","206,00","144,16","127,93","116,57","103,58",RJ
